,ID,AWARDS
378,770329,[]
379,772431,[]
380,293529,[]
381,1038039,[]
382,431465,[]
383,961447,[]
384,1122852,[]
385,445951,[]
386,495967,[]
387,696147,[]
388,55875,[]
389,235532,[]
390,936479,[]
391,427190,[]
392,1147306,[]
393,43707,[]
394,43864,[]
395,1159363,[]
396,322419,[]
397,43863,[]
398,43774,[]
399,43858,[]
400,43851,[]
401,43773,[]
402,43772,[]
403,43771,[]
404,43770,[]
405,43775,[]
406,448585,[]
407,43874,[]
408,43769,[]
409,43871,[]
410,338958,[]
411,43857,[]
412,43766,[]
413,43768,[]
414,43767,[]
415,43706,[]
416,43856,[]
417,43873,[]
418,43765,[]
419,43859,[]
420,43855,[]
421,43777,[]
422,1171132,[]
423,43850,[]
424,43764,[]
425,43763,[]
426,1159360,[]
427,878187,[]
428,824795,[]
429,43882,[]
430,43762,[]
431,781225,[]
432,794533,[]
433,878233,[]
434,877559,[]
435,43854,[]
436,438774,[]
437,43872,[]
438,51059,[]
439,791903,[]
440,51058,[]
441,225388,[]
442,51050,[]
443,267063,[]
444,43881,[]
445,222848,[]
446,43810,[]
447,43852,[]
448,1160390,[]
449,43843,[]
450,43846,[]
451,43760,[]
452,43847,[]
453,43761,[]
454,43759,[]
455,43849,[]
456,351241,[]
457,43848,[]
458,43755,[]
459,43839,[]
460,43758,[]
461,51051,[]
462,51057,[]
463,51056,[]
464,51055,[]
465,51052,[]
466,51054,[]
467,723001,[]
468,51053,[]
469,1057257,[]
470,43757,[]
471,43754,[]
472,43756,[]
473,395541,[]
474,290739,[]
475,43753,[]
476,43845,[]
477,43831,[]
478,43844,[]
479,43821,[]
480,55015,[]
481,512215,[]
482,734779,[]
483,43752,[]
484,485445,[]
485,488500,[]
486,43878,[]
487,512203,[]
488,43704,[]
489,322224,[]
490,351331,[]
491,260518,[]
492,43712,[]
493,793413,[]
494,43869,[]
495,43870,[]
496,556917,[]
497,389490,[]
498,43750,[]
499,494866,[]
500,594345,[]
501,395297,[]
502,483262,[]
503,43749,[]
504,520183,[]
505,43880,[]
506,498879,[]
507,386302,[]
508,233897,[]
509,734531,[]
510,1158552,[]
511,878179,[]
512,878237,[]
513,681401,[]
514,602189,[]
515,604645,[]
516,483256,[]
517,361849,[]
518,43747,[]
519,1160397,[]
520,781717,[]
521,55097,[]
522,681045,[]
523,43884,[]
524,43745,[]
525,43746,[]
526,43842,[]
527,350954,[]
528,43744,[]
529,43835,[]
530,43807,"['Education: Masters Degree in History from Punjab University', 'ICC Regional Development Manager - Asia']"
531,43841,[]
532,43840,[]
533,43703,[]
534,43743,[]
535,43742,[]
536,43838,[]
537,43837,[]
538,627513,[]
539,716681,[]
540,389677,[]
541,43836,[]
542,43832,[]
543,635770,[]
544,483257,[]
545,43741,[]
546,43740,[]
547,43739,[]
548,43834,[]
549,43833,[]
550,43830,[]
551,456405,[]
552,716683,[]
553,43876,[]
554,43738,[]
555,1076400,[]
556,572640,[]
557,963839,[]
558,929231,[]
559,43865,[]
560,43829,[]
561,43828,[]
562,699065,[]
563,1076401,[]
564,43701,[]
565,324322,[]
566,233895,[]
567,43827,[]
568,878141,[]
569,681403,[]
570,43737,[]
571,587915,[]
572,512211,[]
573,43736,[]
574,734431,[]
575,43825,[]
576,43824,[]
577,43700,[]
578,43823,[]
579,43733,[]
580,43805,[]
581,43820,[]
582,43883,[]
583,43819,[]
584,316398,[]
585,43818,[]
586,43817,[]
587,43732,[]
588,433614,[]
589,392291,[]
590,43731,[]
591,43816,[]
592,43853,[]
593,43815,[]
594,43730,[]
595,43826,[]
596,396722,[]
597,43812,[]
598,43728,[]
599,43813,[]
600,43727,[]
601,43698,[]
602,43697,[]
603,43725,[]
604,43811,[]
605,43724,[]
606,43696,[]
607,43796,[]
608,542382,[]
609,43809,[]
610,602205,[]
611,43808,[]
612,796953,[]
613,43722,[]
614,43789,[]
615,43708,[]
616,734309,[]
617,43710,[]
618,43723,[]
619,43801,[]
620,43800,[]
621,43799,[]
622,43822,[]
623,43794,[]
624,268773,[]
625,43798,[]
626,43721,[]
627,260039,[]
628,43695,['Wisden Cricketer of the Year 1972']
629,43804,[]
630,43861,[]
631,43867,[]
632,43803,[]
633,43802,[]
634,43795,[]
635,43875,[]
636,43720,[]
637,43719,[]
638,43793,[]
639,43791,[]
640,43862,[]
641,43718,[]
642,43790,[]
643,43792,[]
644,43785,[]
645,43717,[]
646,43693,[]
647,43788,[]
648,43692,[]
649,43715,[]
650,43786,[]
651,43787,[]
652,43716,[]
653,438781,[]
654,43729,[]
655,348154,[]
656,338896,[]
657,43784,[]
658,43814,[]
659,43714,[]
660,43782,[]
661,43713,[]
662,43781,[]
663,43866,[]
664,43797,[]
665,43783,[]
666,43780,[]
667,43779,[]
668,43778,[]
669,36171,[]
670,36149,[]
671,36141,[]
672,36147,[]
673,1164212,[]
674,1168745,[]
675,1159755,[]
676,672499,[]
677,554699,[]
678,36173,[]
679,36170,[]
680,36153,[]
681,36169,[]
682,36168,[]
683,36140,[]
684,36152,[]
685,1081247,[]
686,1159807,[]
687,588471,[]
688,325086,[]
689,942371,[]
690,477355,[]
691,36167,[]
692,36166,[]
693,36165,[]
694,36164,[]
695,36163,[]
696,961195,[]
697,36162,[]
698,36161,[]
699,36146,[]
700,36160,[]
701,36143,[]
702,430072,[]
703,36145,[]
704,36150,[]
705,36138,[]
706,36148,[]
707,36137,[]
708,26784,[]
709,36159,[]
710,36158,[]
711,36157,[]
712,36144,[]
713,36156,[]
714,36155,[]
715,36154,[]
716,438363,[]
717,36142,[]
718,36151,[]
719,36135,[]
720,279556,[]
721,391169,[]
